Date,Visitors
July 2020,"141,772"
August 2020,"158,664"
September 2020,"147,777"
October 2020,"139,916"
November 2020,"127,159"
December 2020,"154,246"
January 2021,"120,921"
February 2021,"101,655"
March 2021,"123,583"
April 2021,"130,634"
May 2021,"140,287"
June 2021,"162,94"
July 2021,"258,469"
August 2021,"600,982"
September 2021,"671,662"
October 2021,"649,352"
November 2021,"560,271"
December 2021,"761,36"
January 2022,"298,217"
February 2022,"419,837"
March 2022,"614,16"
April 2022,"1,001,313"
May 2022,"1,428,129"
June 2022,"2,188,742"
July 2022,"2,814,980"
August 2022,"2,515,454"
September 2022,"2,029,087"
October 2022,"1,755,938"
November 2022,"1,268,343"
December 2022,"1,589,448"
January 2023,"1,107,737"
February 2023,"1,200,979"
March 2023,"1,365,304"
